coords
"[71.114, 25.833]"
"[70.0709, 29.7475]"
"[70.9984, 24.699]"
"[70.622, 29.6922]"
"[70.2522, 21.7846]"
"[69.5431, 17.6653]"
"[70.6297, 29.7218]"
"[69.7794, 18.3995]"
"[71.063, 28.259]"
"[70.9955, 24.6667]"
"[69.8354, 18.5891]"
"[71.0976, 25.4002]"
"[69.851, 18.819]"
"[70.7937, 23.4076]"
"[69.7883, 20.5682]"
"[69.9374, 22.0491]"
"[69.751, 20.492]"
"[69.551, 20.534]"
"[69.649, 18.982]"
"[70.129, 19.979]"
"[69.7287, 30.0752]"
"[70.7211, 23.8098]"
"[70.8582, 29.0883]"
"[70.951, 27.3455]"
"[70.144, 28.8816]"
"[70.6355, 23.6634]"
"[70.6301, 21.9844]"
"[69.6062, 18.0409]"
"[70.6706, 26.6075]"
"[69.9682, 29.6444]"
"[71.0375, 27.8497]"
"[70.4846, 27.9855]"
"[69.8128, 19.9877]"
"[70.9956, 25.9591]"
"[71.0424, 25.8948]"
"[70.0286, 18.6916]"
"[69.362, 17.0661]"
"[69.4962, 17.4938]"
"[69.3011, 16.9797]"
"[70.5902, 22.2823]"
"[69.5088, 17.9071]"
"[70.9842, 26.0293]"
"[70.7465, 25.6713]"
"[70.323, 25.064]"
"[70.4894, 27.0565]"
"[69.7548, 19.6772]"
"[69.7937, 20.9426]"
"[69.9547, 19.6683]"
"[70.4469, 27.8244]"
"[70.032, 20.976]"
"[70.8987, 27.2269]"
"[70.8012, 28.0996]"
"[69.6339, 18.0035]"
"[69.3976, 18.1555]"
"[70.5323, 25.0994]"
"[70.9918, 25.9656]"
"[70.2151, 23.192]"
"[70.2841, 30.9981]"
"[69.3377, 17.1067]"
"[70.243, 19.498]"
"[69.6264, 18.9462]"
"[69.6911, 19.0163]"
"[71.005, 23.8994]"
"[70.3765, 31.1134]"
"[70.237, 22.3506]"
"[70.1988, 20.5209]"
"[69.3249, 16.1339]"
"[70.3645, 31.0285]"
