Radiokallesignal (ERS);mmsi
LLOP;258410000
JWRB;273418680
LGHT;257413500
LJIZ;257432500
LJML;257470500
3YMI;257089000
LLIG;273413740
LMYF;257663500
LLAY;259656000
LKZV;257396000
JXVP;259154000
LFGV;257619000
LAZW;257608500
LDQA;258205000
LDAL;258778000
LCAW;258041000
LJPH;259576000
LAPL;257898500
3YZU;257122240
LAVO;258526000
3YYB;258874000
LMAC;258535000
LFGQ;257629600
LJSK;259590000
LLUX;257444500
LMMU;257543500
LLIL;257421500
LM4026;257246420
LJKH;257056040
LJIJ;259537000
LM9256;257458620
LGCA;257098320
LAVY;258545000
LLPQ;257576500
LHSS;257006840
LIBC;261054050
LJWI;259252000
LHMF;259282000
LENQ;257538500
LNYZ;257435500
LK3438;257152620
LAPP;258128000
LCCX;258522000
LAJU;257611500
LLDH;259683000
LMQT;257459500
LAVH;257197000
3YMA;257789500
LMPZ;258217000
LLLI;258183000
LGHI;257886500
LHXQ;257016340
LKTM;257522500
LJQQ;259641000
LION;257855500
LDYW;257215000
LDDF;257656000
LMJP;316042032
JWLH;259225000
LM5377;257289320
LDAA;258083000
LK2949;257681500
LM4081;257980500
LLQX;257574600
LM4189;257108640
LLKI;257563600
JWPP;257834500
LCCZ;258542000
LDLP;257488600
LMFV;257587600
LKND;257978500
LLMP;257865500
LALK;259244000
LJWE;259609000
LCNF;257485600
LICI;258529000
JXGY;259214000
LCMP;259707000
LNFD;259540000
JWLD;257445500
LDDG;257317000
LLGQ;258449000
3YCU;259092000
LGLX;257166400
LIVV;259450000
LLIA;257247000
LFFQ;258541000
LJWW;259617000
LJOB;259563000
LK5389;257005840
LIDE;259352000
LDZL;257523500
LCSR;257475500
LLKK;257587500
LLWT;257198000
JXLH;257592500
LK8222;257591600
LLWH;259822000
LK4168;257825500
LMTJ;257654500
LM6586;257964500
LJCS;259536000
LM5895;257309220
LEWI;257013420
LIWM;257529600
JXVK;257125140
LCZY;257102840
LM3995;257757500
LMCU;257586600
3YWO;257079000
LM6697;257346920
LGWN;258524000
LLOS;258442000
LNTU;257254000
LFPA;257816500
LMVM;257639500
LELS;257552500
LGCT;257336000
LMBN;251158000
LLRW;257576600
LNWW;257888500
LHYA;257017240
LLGI;257084040
LDQN;257602000
JWLQ;259118000
LLNQ;257570600
LMUR;258553000
LDRW;257812500
LNGY;258015500
LMEC;257258000
LDKY;257437000
LKXA;257034640
LANW;258216000
LM6412;257333420
LJDR;258334000
JXML;242761300
LLZL;258470000
LMWR;257327000
LLGB;257303000
LJVB;259602000
LM5059;257768500
LCLK;257131800
LJDT;257531600
LHDY;257820500
LJWR;259616000
LLAV;259653000
LKZZ;257603500
LDHM;257687000
LK3887;257733500
JXDJ;257349500
LLYH;258037000
LLRD;312154000
